"id","data_inversa","br","municipio","tipo_acidente"
"260067","1/1/2020","381","PERDOES","Saída de leito carroçável"
"260073","1/1/2020","262","UBERABA","Colisão transversal"
"260075","1/1/2020","381","RIO MANSO","Capotamento"
"260078","1/1/2020","381","NOVA ERA","Saída de leito carroçável"
"260101","1/1/2020","381","BETIM","Colisão com objeto estático"
"260108","1/1/2020","459","POUSO ALEGRE","Colisão traseira"
"260123","1/1/2020","262","MATEUS LEME","Saída de leito carroçável"
"260129","1/1/2020","262","JUATUBA","Saída de leito carroçável"
"260135","1/1/2020","381","POUSO ALEGRE","Saída de leito carroçável"
"260136","1/1/2020","50","UBERABA","Saída de leito carroçável"
"260158","1/1/2020","40","JUIZ DE FORA","Queda de ocupante de veículo"
"260164","1/1/2020","365","CLARO DOS POCOES","Saída de leito carroçável"
"260167","1/1/2020","381","CAMBUI","Colisão traseira"
"260186","1/1/2020","116","ITAOBIM","Colisão transversal"
"260190","1/1/2020","40","BELO HORIZONTE","Colisão traseira"
"260195","1/1/2020","116","MANHUACU","Capotamento"
"260203","1/1/2020","40","RIBEIRAO DAS NEVES","Atropelamento de Pedestre"
"260205","1/1/2020","40","RIBEIRAO DAS NEVES","Colisão lateral"
"260217","1/1/2020","381","BETIM","Colisão traseira"
"260225","1/1/2020","381","PERDOES","Colisão traseira"
"260227","1/1/2020","381","JOAO MONLEVADE","Queda de ocupante de veículo"
"260228","1/1/2020","40","MATIAS BARBOSA","Queda de ocupante de veículo"
"260229","1/1/2020","262","LUZ","Tombamento"
"260235","1/1/2020","381","SAO SEBASTIAO DA BELA VISTA","Colisão com objeto estático"
"260245","1/1/2020","459","POUSO ALEGRE","Colisão frontal"
"260250","1/1/2020","40","CAETANOPOLIS","Incêndio"
"260260","1/1/2020","381","BETIM","Colisão com objeto estático"
"260261","1/1/2020","381","BETIM","Colisão com objeto estático"
"260274","1/2/2020","381","SANTA LUZIA","Saída de leito carroçável"
"260282","1/1/2020","262","UBERABA","Saída de leito carroçável"
"260292","1/2/2020","251","FRANCISCO SA","Colisão lateral"
"260297","1/2/2020","50","ARAGUARI","Queda de ocupante de veículo"
"260303","1/2/2020","40","LAGOA GRANDE","Saída de leito carroçável"
"260307","1/2/2020","116","CARATINGA","Atropelamento de Pedestre"
"260312","1/2/2020","116","ALEM PARAIBA","Colisão frontal"
"260353","1/2/2020","40","JUIZ DE FORA","Saída de leito carroçável"
"260355","1/2/2020","381","NEPOMUCENO","Saída de leito carroçável"
"260361","1/2/2020","40","CAETANOPOLIS","Colisão com objeto estático"
"260369","1/2/2020","262","BETIM","Saída de leito carroçável"
"260371","1/2/2020","146","POCOS DE CALDAS","Colisão frontal"
"260373","1/2/2020","116","SAO FRANCISCO DO GLORIA","Colisão traseira"
"260381","1/2/2020","40","CONGONHAS","Colisão traseira"
"260383","1/2/2020","153","PRATA","Saída de leito carroçável"
"260388","1/2/2020","381","SAO GONCALO DO SAPUCAI","Saída de leito carroçável"
"260392","1/2/2020","40","SETE LAGOAS","Saída de leito carroçável"
"260398","1/2/2020","50","UBERABA","Colisão com objeto estático"
